"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D6,D5,D4,D3,D2,D1";"LED_D3.0mm_Alhambra_II";6;"LED";;;
2;"Q6,Q5,Q4,Q3,Q2,Q1,Q10,Q9,Q8,Q7";"TO-92L_Inline_Wide_Alhambra_II";10;"BC639";;;
3;"R36,R35,R34,R33,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24";"R_Axial_Alhambra_II";28;"10k";;;
4;"R25,R26,R27,R28,R29,R30,R31,R32,R37,R38,R39,R41,R42,R43,R40";"R_Axial_Alhambra_II";15;"180";;;
5;"R44";"R_Axial_Alhambra_II";1;"0 (BRIDGE)";;;
6;"U7";"DIP-16_W7.62mm_Socket_LongPads";1;"4511_Alhambra_II";;;
7;"SW6,SW8,SW7,SW5";"PUSH_Button_Alhambra_II";4;"SW_Push";;;
8;"J2,J1,J3,J6,J7";"PinSocket_1x04_P2.54mm_Vertical_Alhambra_II";5;"Conn_01x04";;;
9;"SW_A1,SW_B1";"DIP_SWITCH_4P_Alhambra_II";2;"SW_DIP_x04";;;
10;"C1,C2,C3,C4";"CP_Radial_D5.0mm_P2.50mm";4;"10u";;;
11;"J4";"PinSocket_1x06_P2.54mm_Vertical_Alhambra_II";1;"Conn_01x06";;;
12;"U3,U5,U2,U6,U4";"HDSP_7seg_Alhambra_II";5;"HDSP-7segment-CC";;;
13;"J5";"PinSocket_1x08_P2.54mm_Vertical_Alhambra_II";1;"Conn_01x08";;;
14;"J8";"PinHeader_1x03_P2.54mm_Vertical_Alhambra_II";1;"Conn_01x03";;;
15;"H1,H2,H3,H4";"MountingHole_4mm";4;"MountingHole";;;
16;"G***";"logoUdLEPS";1;"LOGO";;;
17;"G***";"logoUdLEPS_nou";1;"LOGO";;;
18;"U1";"Alhambra_II_UdL_v2";1;"Alhambra_II_board";;;
